FID,INSTNAME,CITY,STATE,ZIP
499,Peralta Community College System Office,Oakland,CA,94606
500,Pitzer College,Claremont,CA,91711
501,Platt College-San Diego,San Diego,CA,92115
502,Point Loma Nazarene University,San Diego,CA,92106
503,Pomona College,Claremont,CA,91711
504,Porterville College,Porterville,CA,93257
505,Westwood College-South Bay,Torrance,CA,90502
506,Professional Institute of Beauty,El Monte,CA,91731
507,Santa Ana College,Santa Ana,CA,92706
508,Pardee RAND Graduate School,Santa Monica,CA,90407
509,Shasta School of Cosmetology,Redding,CA,96003
510,University of Redlands,Redlands,CA,92373
511,College of the Redwoods,Eureka,CA,95501
512,Salon Success Academy-Upland,Upland,CA,91786
513,Salon Success Academy-Corona,Corona,CA,92879
514,Rio Hondo College,Whittier,CA,90601
515,Riverside City College,Riverside,CA,92506
516,Argosy University-San Francisco Bay Area,Alameda,CA,94501
517,Rosemead Beauty School,Rosemead,CA,91770
518,Dongguk University-Los Angeles,Los Angeles,CA,90020
519,Sacramento City College,Sacramento,CA,95822
520,Saddleback College,Mission Viejo,CA,92692
521,Saint Patrick's Seminary and University,Menlo Park,CA,94025
522,Samuel Merritt University,Oakland,CA,94609
523,San Diego Community College District-District Office,San Diego,CA,92108
524,San Diego City College,San Diego,CA,92101
525,Golf Academy of America-Carlsbad,Carlsbad,CA,92008
526,San Diego Mesa College,San Diego,CA,92111
527,San Diego Miramar College,San Diego,CA,92126
528,San Diego State University,San Diego,CA,92182
529,University of San Diego,San Diego,CA,92110
530,San Francisco Art Institute,San Francisco,CA,94133
531,San Francisco Conservatory of Music,San Francisco,CA,94102
532,San Francisco State University,San Francisco,CA,94132
533,San Francisco Theological Seminary,San Anselmo,CA,94960
534,University of San Francisco,San Francisco,CA,94117
535,San Joaquin College of Law,Clovis,CA,93612
536,San Joaquin Delta College,Stockton,CA,95207
537,San Joaquin Valley College-Visalia,Visalia,CA,93291
538,San Joaquin Valley College-Bakersfield,Bakersfield,CA,93309
539,William Jessup University,Rocklin,CA,95765
540,San Jose-Evergreen Community College District,San Jose,CA,95135
541,San Jose City College,San Jose,CA,95128
542,San Jose State University,San Jose,CA,95192
543,San Mateo County Community College District Office,San Mateo,CA,94402
544,College of San Mateo,San Mateo,CA,94402
545,Santa Barbara Business College-Bakersfield,Bakersfield,CA,93309
546,Westwood College-Los Angeles,Los Angeles,CA,90010
547,Santa Barbara Business College-Santa Maria,Santa Maria,CA,93454
548,Santa Barbara City College,Santa Barbara,CA,93109
549,Santa Clara University,Santa Clara,CA,95053
550,Santa Monica College,Santa Monica,CA,90405
551,Santa Rosa Junior College,Santa Rosa,CA,95401
552,Saybrook University,San Francisco,CA,94111
553,Scripps College,Claremont,CA,91711
554,Wyotech-Fremont,Fremont,CA,94539
555,College of the Sequoias,Visalia,CA,93277
556,Shasta Bible College and Graduate School,Redding,CA,96002
557,Shasta College,Redding,CA,96003
558,Sierra College,Rocklin,CA,95677
