FID,NAME,ADDRESS,CITY,STATE,ZIP
706,STAN SHERIFF CENTER,LOWER CAMPUS ROAD,HONOLULU,HI,96822
707,CENTRUM ARENA,351 WEST CENTER STREET,CEDAR CITY,UT,84720
708,RYAN FIELD,1501 CENTRAL STREET,EVANSTON,IL,60208
709,FORD CENTER,SOUTHEAST MARTIN LUTHER KING JR BOULEVARD,EVANSVILLE,IN,47708
710,INDIANA FARMERS COLISEUM,1202 E 38TH ST,INDIANAPOLIS,IN,46205
711,LEGION FIELD,GRAYMOUNT AVENUE W AND JASPER ROAD W,BIRMINGHAM,AL,35204
712,MULTIPURPOSE ACTIVITY CENTER,400 CEDAR AVENUE,WEST LONG BRANCH,NJ,7764
713,CHARLES KOCH ARENA,EAST 21ST STREET AND NORTH HILLSIDE AVENUE,WICHITA,KS,67260
714,BRYANT-DENNY STADIUM,950 PAUL W. BRYANT DRIVE,TUSCALOOSA,AL,35401
715,MATTHEW KNIGHT ARENA,1776 EAST 13TH STREET,EUGENE,OR,97401
716,HULMAN ARENA,200 NORTH 8TH STREET,TERRE HAUTE,IN,47807
717,JORDAN-HARE STADIUM,251 SOUTH DONAHUE DRIVE,AUBURN,AL,36849
718,COLLEGE PARK CENTER,601 SOUTH PECAN STREET,ARLINGTON,TX,76010
719,JQH ARENA,685 SOUTH JOHN Q. HAMMONS PARKWAY,SPRINGFIELD,MO,65807
720,VETERANS MEMORIAL STADIUM,SOUTH GEORGE WALLACE DR AND MELTON CARTER DR,TROY,AL,36081
721,ALICO ARENA,10501 FGCU BOULEVARD,FORT MEYERS,FL,33965
722,KNAPP ARENA,2601 FOREST AVENUE,DES MOINES,IA,50311
723,DONALD W. REYNOLDS RAZORBACK STADIUM,WEST MAPLE STREET AND NORTH STADIUM DRIVE,FAYETTEVILLE,AR,72701
724,G.B. HODGE CENTER,HODGE DRIVE,SPARTANBURG,SC,29303
725,VIEJAS ARENA,5500 CANYON CREST DRIVE,SAN DIEGO,CA,92115
726,WAR MEMORIAL STADIUM (ARKASAS),FAIR PARK BOULEVARD AND WEST MARKHAM STREET,LITTLE ROCK,AR,72205
727,WELLS FARGO CENTER,3601 SOUTH BROAD STREET,PHILADELPHIA,PA,19148
728,DANIEL-MEYER COLISEUM,2900 STADIUM DRIVE,FORT WORTH,TX,76109
729,HUSKIE STADIUM,1245 STADIUM DRIVE SOUTH,DEKALB,IL,60115
730,HOLT ARENA,550 MEMORIAL DRIVE,POCATELLO,ID,83201
731,HUNTSMAN CENTER,1825 EAST SOUTH CAMPUS ROAD,SALT LAKE CITY,UT,84112
732,MEMORIAL STADIUM (INDIANA),701 EAST 17TH STREET,BLOOMINGTON,IN,47408
733,TEMPLETON PHYSICAL EDUCATION CENTER,ASHLAND STREET,CLINTON,SC,29325
734,SEWALL CENTER,6001 UNIVERSITY BLVD,MOON TOWNSHIP,PA,15108
735,ROSS-ADE STADIUM,STEVEN BEERING DRIVE AND VICTORY DRIVE,WEST LAFAYETTE,IN,47907
736,KIMMEL ARENA,227 CAMPUS DRIVE,ASHEVILLE,NC,28804
737,DEGOL ARENA,140 LAKEVIEW DRIVE,LORETTO,PA,15940
738,NOTRE DAME STADIUM,MOOSE KRAUSE CIRCLE AND DORR ROAD,NOTRE DAME,IN,46637
739,SHARP GYMNASIUM,HINTON DRIVE,HOUSTON,TX,77074
740,DETRICK GYMNASIUM,1615 STANLEY ST,NEW BRITAIN,CT,6053
741,SCHEUMANN STADIUM,BETHEL AVENUE AND TILLOTSON AVENUE,MUNCIE,IN,47034
742,BETTY ENGELSTAD SIOUX CENTER,1 RALPH ENGELSTAD DRIVE,GRANK FORKS,ND,58203
743,KNOTT ARENA,16300 OLD EMMITSBURG ROAD,EMMITSBURG,MD,21727
744,MEMORIAL STADIUM (KANSAS),1017 WEST 11TH STREET,LAWRENCE,KS,66044
745,KEYARENA,305 HARRISON STREET,SEATTLE,WA,98109
746,CHILES CENTER,5000 N WILLAMETTE BLVD,PORTLAND,OR,97203
747,BILL SYNDER FAMILY FOOTBALL STADIUM,1800 COLLEGE AVENUE,MANHATTAN,KS,66502
748,ICARDO CENTER,ROADRUNNER DRIVE,BAKERSFIELD,CA,93301
749,FIRESTONE FIELDHOUSE,24225 PACIFIC COAST HWY,MALIBU,CA,90263
