FID,NAME,ADDRESS,CITY,STATE,ZIP
256,BELK ARENA,200 BAKER DRIVE,DAVIDSON,NC,28036
257,HOUCHENS INDUSTRIES-L.T. SMITH STADIUM,AVENUE OF CHAMPIONS,BOWLING GREEN,KY,42101
258,LUNDHOLM GYMNASIUM,MAIN STREET AND MAST ROAD,DURHAM,NH,3824
259,TCF BANK STADIUM,SE UNIVERSITY AVENUE AND SE OAK STREET,MINNEAPOLIS,MN,55455
260,BENJAMIN JOHNSON ARENA,230 EVINS STREET,SPARTANBURG,SC,29303
261,PATRICK GYMNASIUM,DAVIS ROAD AND SPEAR STREET,BURLINGTON,VT,5405
262,GREENSBORO COLISEUM,1921 WEST LEE STREET GREENSBORO,GREENSBORO,NC,27403
263,INFOCISION STADIUM/SUMMA FIELD,SOUTH UNION STREET AND VINE STREET,AKRON,OH,44304
264,CHILDREN'S MERCY PARK,1 SPORTING WAY,KANSAS CITY,KS,66111
265,RED BULL ARENA,600 CAPE MAY ST,HARRISON,NJ,7029
266,SEFCU ARENA,1400 WASHINGTON AVENUE,ALBANY,NY,12206
267,DICK'S SPORTING GOODS PARK,6000 VICTORY WAY,COMMERCE CITY,CO,80022
268,RETRIEVER ACTIVITIES CENTER,ADMINISTRATION DRIVE,BALTIMORE,MD,21250
269,TOYOTA PARK,7000 S HARLEM AVE,BRIDGEVIEW,IL,60455
270,RFK MEMORIAL STADIUM,2400 EAST CAPITOL STREET SE,WASHINGTON,DC,20003
271,CHASE ARENA AT REICH FAMILY PAVILION,200 BLOOMFIELD AVENUE,WEST HARTFORD,CT,6117
272,MAPFRE STADIUM,1 BLACK AND GOLD BOULEVARD,COLUMBUS,OH,43211
273,TOYOTA STADIUM,6000 WEST MAIN STREET,FRISCO,TX,75034
274,A.J. PALUMBO CENTER,1304 FORBES AVENUE,PITTSBURGH,PA,15282
275,HAGAN ARENA,2450 NORTH 54TH STREET,PHILADELPHIA,PA,19131
276,STUBHUB CENTER,18400 AVALON BOULEVARD,CARSON,CA,90746
277,DALE F. HALTON ARENA,9201 UNIVERSITY BOULEVARD,CHARLOTTE,NC,28223
278,CHARLES E. SMITH ATHLETIC CENTER,600 22ND STREET NW,WASHINGTON,DC,20037
279,RIO TINTO STADIUM,9256 SOUTH STATE,SANDY,UT,84070
280,CINTAS CENTER,PACIFIC AVENUE,CINCINNATI,OH,45207
281,TALEN ENERGY STADIUM,1 STADIUM DRIVE,CHESTER,PA,19013
283,AVAYA STADIUM,1123 COLEMAN AVENUE,SAN JOSE,CA,95110
284,LIACOURAS CENTER,WEST MONTGOMERY AVENUE AND 15TH STREET,PHILADELPHIA,PA,19122
285,REILLY CENTER,CORNELIUS WELCH DRIVE,SAINT BONAVENTER,NY,14478
286,PETERSEN EVENTS CENTER,3719 TERRACE STREET,PITTSBURGH,PA,15260
287,ROBINS CENTER,BOATWRIGHT DRIVE AND CAMPUS DRIVE,RICHMOND,VA,23229
288,THE PAVILION (PENNSYLVANIA),SOUTH ITHAN AVENUE,VILLANOVA,PA,19085
289,USF SUN DOME,4202 EAST FOWLER AVENUE,TAMPA,FL,33617
290,ROSE HILL GYMNASIUM,441 EAST FORDHAM ROAD,BRONX,NY,10458
291,CHAIFETZ ARENA,1 SOUTH COMPTON AVENUE,SAINT LOUIS,MO,63103
292,VERIZON CENTER,610 F STREET NW,WASHINGTON,DC,20001
293,WVU COLISEUM,PATTERSON DRIVE AND MONONGAHELA BOULEVARD,MORGANTOWN,WV,26505
294,THOMAS M. RYAN CENTER,WEST ALUMNI AVENUE AND TOOTELL RD.,KINGSTON,RI,2881
